created_by,created_date,data_type,page_setting_id,section,setting_data,updated_date
" ",2023-12-06 11:22:27,logo,1495,left pannel middel container,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1496,left pannel middel container,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,html,1497,left pannel,<div><p>Welcome to The Website</p></div>,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,data_type,1498,section,setting_data,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1499,left pannel middel container,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1500,left pannel middel container,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 14:24:33
" ",2023-12-06 11:22:27,html,1501,left pannel,<div><p>Welcome to The Website</p></div>,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1502,sample 30 Nov Data,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,text,1503,sample 30 Nov Data,welcome sample 30 Nov Data,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1504,sample 30 Nov Data,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,text,1505,sample 30 Nov Data,welcome sample 30 Nov Data,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1506,left pannel middel container,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1507,left pannel middel container,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,html,1508,left pannel,<div><p>Welcome to The Website</p></div>,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1509,footer email symbol logo,uploads/Home/files/logo/1701766282766341722.jpg,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1510,footer email symbol logo,uploads/Home/files/logo/1701766269025024929.jpg,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1511,header top logo,uploads/Home/files/logo/1701763423131661892.jpg,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,,1512,,,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,text,1513,left pannel header,welcome to website,2023-12-06 14:24:32
" ",2023-12-06 11:22:27,logo,1514,sample 30 Nov Data,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 14:24:32
